NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,Manufacturing
"Roseville city, Minnesota",36026,40.9,71180,726.0,0.4202,63800.0
"Boca Raton city, Florida",97468,48.5,83114,2429.0,0.5476,86205.0
"Pearland city, Texas",122078,35.0,104504,2124.0,0.3713,87827.0
"Cottage Grove village, Wisconsin",7020,35.7,99322,150.0,0.3429,71288.0
"Post Falls city, Idaho",33225,33.9,54021,477.0,0.3813,34016.0
"Kettering city, Ohio",55390,39.3,58970,1210.0,0.4487,49507.0
"Miami Lakes town, Florida",30864,41.3,75762,475.0,0.46,37642.0
"Waukesha city, Wisconsin",72412,36.1,65260,1295.0,0.4196,52189.0
"Lee's Summit city, Missouri",97275,38.7,89969,1476.0,0.4112,65339.0
"O'Fallon city, Illinois",29333,36.7,90349,651.0,0.4039,64484.0
"Vandalia city, Ohio",15045,41.0,58277,229.0,0.4198,55179.0
"Gainesville city, Florida",132127,26.3,37264,3443.0,0.5273,36446.0
"Deer Park city, Texas",33855,35.5,80592,1373.0,0.3836,75865.0
"Alexandria city, Virginia",157613,36.8,100939,3045.0,0.4472,70395.0
"Fairfax city, Virginia",23531,38.2,116979,548.0,0.4053,71375.0
"Grand Prairie city, Texas",192565,33.4,67388,4703.0,0.3949,40549.0
"Coppell city, Texas",41645,40.5,122340,526.0,0.4184,98490.0
"Carmel city, Indiana",97464,39.4,112765,1345.0,0.4609,112454.0
"Farmington city, New Mexico",45258,33.8,54480,1325.0,0.4518,54821.0
"Oro Valley town, Arizona",44630,54.0,83341,1043.0,0.4325,105417.0
"Tallahassee city, Florida",191279,26.9,45734,8624.0,0.5042,39552.0
"Fort Wayne city, Indiana",265752,35.0,49411,7587.0,0.4436,40399.0
"Naperville city, Illinois",147501,39.1,125926,3188.0,0.4135,104895.0
"Seminole city, Florida",18657,55.9,53975,213.0,0.5265,81508.0
"Vancouver city, Washington",180556,36.9,61714,4666.0,0.4317,50525.0
"Buckeye city, Arizona",69744,34.3,71707,1625.0,0.3618,50050.0
"Spartanburg city, South Carolina",37424,34.6,40053,1300.0,0.5089,35758.0
"Tampa city, Florida",387916,35.7,53833,12885.0,0.5416,40759.0
"Margate city, Florida",58023,46.4,45594,1731.0,0.4601,30641.0
"Round Rock city, Texas",124434,34.3,82676,3732.0,0.3882,67075.0
"Colorado Springs city, Colorado",464871,34.7,64712,13689.0,0.4428,48012.0
"Colorado Springs city, Colorado",464871,34.7,64712,13689.0,0.4428,48012.0
"Largo city, Florida",84130,48.3,44323,2382.0,0.4502,35921.0
"Rockville city, Maryland",67542,38.7,106576,1686.0,0.4234,99545.0
"Toledo city, Ohio",276614,35.1,37752,12262.0,0.4645,41872.0
"Allen city, Texas",101699,37.9,105925,2537.0,0.4013,89037.0
"Austin city, Texas",950807,33.3,71576,21399.0,0.4841,68651.0
"Fort Collins city, Colorado",165609,29.3,65866,5188.0,0.4559,61650.0
"Glendale city, Arizona",247813,34.2,55020,7020.0,0.4528,42929.0
"Frankfort Square CDP, Illinois",8768,39.8,99951,283.0,0.2941,61515.0
"Sammamish city, Washington",64674,38.7,174003,909.0,0.3708,125909.0
"Mesa city, Arizona",499720,35.9,58181,12370.0,0.4469,47309.0
"Richmond city, Kentucky",35133,26.1,36302,1349.0,0.5042,50063.0
"Denver city, Colorado",705576,34.5,68592,15669.0,0.4909,50006.0
"Maricopa city, Arizona",48629,35.7,74515,915.0,0.3614,52951.0
"Columbus city, Ohio",878553,32.2,53745,27155.0,0.4431,42296.0
"Columbus city, Ohio",878553,32.2,53745,27155.0,0.4431,42296.0
"Bay City city, Texas",17694,34.0,50182,481.0,0.4617,49196.0
"Wichita city, Kansas",389877,35.0,52620,11278.0,0.465,51253.0
"Destin city, Florida",13702,42.3,79000,278.0,0.4527,29508.0
"Grapevine city, Texas",53317,38.2,91143,1254.0,0.4213,77400.0
"Lynnwood city, Washington",38143,40.2,63743,701.0,0.4276,54275.0
"Morrisville town, North Carolina",26280,33.8,101738,517.0,0.3881,95020.0
"Oak Brook village, Illinois",8075,56.1,141055,104.0,0.5351,68750.0
"Phoenix city, Arizona",1633017,33.8,57459,45563.0,0.4713,40957.0
"Renton city, Washington",101484,36.2,77739,2126.0,0.4202,70428.0
"Missoula city, Montana",73710,32.8,47426,2208.0,0.4866,36793.0
"Santa Rosa city, California",179701,38.8,75630,4565.0,0.4305,50578.0
"Owatonna city, Minnesota",25685,38.5,62642,521.0,0.4182,44830.0
"Eagan city, Minnesota",66379,38.2,90515,1670.0,0.4216,67331.0
"Port St. Lucie city, Florida",189396,42.5,60587,4251.0,0.4034,50847.0
"Gainesville city, Georgia",39991,31.5,51520,575.0,0.4826,27718.0
"Medford city, Oregon",81145,37.4,50116,2287.0,0.4479,38318.0
"Scottsdale city, Arizona",250602,47.7,88213,4408.0,0.5044,90090.0
"Newark city, Delaware",33448,24.8,58434,690.0,0.5059,64694.0
"Garner town, North Carolina",29462,37.6,65064,743.0,0.3931,69258.0
"Bloomington city, Indiana",84116,24.0,37077,2940.0,0.539,35750.0
"Elgin city, Texas",10064,33.5,58816,511.0,0.3724,43435.0
"Riverside city, California",326414,31.6,69045,10739.0,0.4263,36590.0
"Riverside city, California",326414,31.6,69045,10739.0,0.4263,36590.0
"Frisco city, Texas",177020,37.1,127055,3375.0,0.4113,109223.0
"Old Orchard Beach CDP, Maine",8862,53.4,58080,219.0,0.5127,46294.0
"Beavercreek city, Ohio",46942,42.1,91217,666.0,0.3917,70552.0
"Kansas City city, Missouri",486404,35.1,54194,12749.0,0.4734,44670.0
"Mountlake Terrace city, Washington",21210,37.3,72955,429.0,0.3828,69954.0
"Los Angeles city, California",3966936,35.6,62142,136312.0,0.5276,31623.0
"Charleston city, South Carolina",135257,34.8,68438,2621.0,0.5001,54022.0
"Fort Worth city, Texas",874401,32.6,62187,23967.0,0.4575,45735.0
"University CDP (Hillsborough County), Florida",48436,27.2,28495,2644.0,0.4844,37037.0
"Lakeway city, Texas",15138,48.4,132899,215.0,0.4318,133581.0
"Novi city, Michigan",60014,38.6,98020,903.0,0.4463,99912.0
"Forsyth city, Georgia",4077,39.9,32173,214.0,0.6127,34276.0
"Lynchburg city, Virginia",80569,28.3,46409,2256.0,0.4623,38917.0
"Englewood city, Colorado",34259,36.4,59774,1199.0,0.4459,42568.0
"The Woodlands CDP, Texas",113819,40.4,122634,1927.0,0.4905,122642.0
"El Paso city, Texas",679813,32.9,47568,19097.0,0.4643,34006.0
"Tinley Park village, Illinois",56505,40.1,78343,1667.0,0.3865,64441.0
"Elk River city, Minnesota",24522,36.3,89596,610.0,0.3486,61833.0
"New Brighton city, Minnesota",22556,37.5,74644,547.0,0.4247,55038.0
"Stillwater city, Oklahoma",49952,23.5,34309,1130.0,0.5605,38211.0
"Oklahoma City city, Oklahoma",643692,34.1,55557,13974.0,0.4734,39063.0
"Owensboro city, Kentucky",59536,38.0,43369,1491.0,0.4813,42219.0
"Columbus city, Indiana",48150,35.3,63405,1011.0,0.4437,66351.0
"High Point city, North Carolina",111714,36.2,47234,3814.0,0.4694,36017.0
"Kirkwood city, Missouri",27708,43.0,90730,338.0,0.4578,92652.0
"Wentzville city, Missouri",38841,33.1,90403,653.0,0.3511,70646.0
"Loveland city, Colorado",76972,39.9,68592,1767.0,0.4105,53734.0
"Doral city, Florida",59972,35.4,77493,1089.0,0.4227,53676.0
"Plano city, Texas",287064,38.7,95602,5941.0,0.4459,90041.0
"Tacoma city, Washington",212869,35.7,62358,5719.0,0.4444,49419.0
"Smithville city, Missouri",9884,35.4,82398,327.0,0.3563,78938.0
"Henderson city, Kentucky",28625,39.7,39887,632.0,0.4694,41307.0
"Jacksonville city, Florida",890467,35.9,54701,27018.0,0.4641,42409.0
"St. Charles city, Illinois",32686,42.8,98393,596.0,0.4405,69263.0
"Newport News city, Virginia",179673,33.5,53215,5342.0,0.4438,49538.0
"The Villages CDP, Florida",79372,71.7,63841,91.0,0.4046,77647.0
"Lake Oswego city, Oregon",39127,46.9,108927,789.0,0.4879,124306.0
"Rochester Hills city, Michigan",74206,42.2,93953,1115.0,0.4355,95926.0
"Nixa city, Missouri",21544,35.6,58402,387.0,0.392,40075.0
"Aurora city, Ohio",16026,46.3,97848,334.0,0.4698,86397.0
"Commerce City city, Colorado",56448,31.6,77065,1262.0,0.3859,44892.0
"North Myrtle Beach city, South Carolina",16200,58.3,60982,597.0,0.4491,51905.0
"Cortland city, New York",18739,27.5,44317,475.0,0.46,35962.0
"Chico city, California",94529,29.7,53324,4099.0,0.4998,41495.0
"San Luis Obispo city, California",47302,26.7,56071,969.0,0.5157,41229.0
"San Luis Obispo city, California",47302,26.7,56071,969.0,0.5157,41229.0
"Roanoke city, Virginia",99229,38.5,44230,3183.0,0.4802,37574.0
"Aiken city, South Carolina",30671,47.7,56199,690.0,0.4649,50365.0
"Safety Harbor city, Florida",17803,48.0,78026,324.0,0.4687,76484.0
"Longview city, Texas",81653,34.7,49086,1884.0,0.4796,43386.0
"Queen Creek town, Arizona",43129,35.1,105729,719.0,0.3861,86867.0
"Southlake city, Texas",31292,42.3,240248,319.0,0.4456,160286.0
"New Braunfels city, Texas",79438,36.5,71044,1368.0,0.4229,58061.0
"Santa Cruz city, California",64522,28.8,77921,2762.0,0.5133,66856.0
"Greensboro city, North Carolina",291303,35.1,48964,9176.0,0.4955,42223.0
"Georgetown city, Kentucky",33605,33.4,65812,678.0,0.4003,55054.0
"Grand Rapids city, Michigan",198401,31.4,50103,6895.0,0.4496,34852.0
"Chesapeake city, Virginia",239982,36.9,78640,5434.0,0.4114,56057.0
"David City city, Nebraska",2841,42.7,55000,12.0,0.3981,49063.0
"Parker town, Colorado",54352,34.7,110934,898.0,0.3524,96028.0
"Weatherford city, Texas",30895,36.9,63708,652.0,0.4348,50690.0
"North Augusta city, South Carolina",22908,40.6,59931,694.0,0.426,52007.0
"Jamestown city, North Dakota",15289,37.8,51789,256.0,0.4467,44524.0
"Charleston city, Illinois",20464,26.5,40863,609.0,0.5397,40048.0
"Texarkana city, Texas",36688,36.0,45080,1339.0,0.55,45094.0
"Valley City city, North Dakota",6460,43.1,46926,77.0,0.472,34124.0
"Alvin city, Texas",26299,33.7,56504,659.0,0.4132,63135.0
"Coffeyville city, Kansas",9457,36.5,33750,237.0,0.5232,43065.0
"Greer city, South Carolina",30854,35.1,61744,624.0,0.422,54488.0
"Dickinson city, North Dakota",22882,32.6,68718,335.0,0.4551,56058.0
"Las Vegas city, Nevada",634773,37.8,56354,20754.0,0.4862,36739.0
"San Diego city, California",1409573,34.9,79673,44077.0,0.4707,70154.0
"Chesterfield city, Missouri",47605,46.5,113315,612.0,0.4648,119821.0
"Peoria city, Illinois",113532,35.2,51771,4991.0,0.5156,65126.0
"Orland Park village, Illinois",58749,46.0,90345,1154.0,0.4279,67445.0
"Tualatin city, Oregon",27527,38.0,85772,555.0,0.4216,61288.0
"Shoreline city, Washington",56267,41.8,86827,1203.0,0.4289,70387.0
"Memphis city, Tennessee",651932,34.0,41228,27775.0,0.5202,35896.0
"Tallmadge city, Ohio",17589,46.5,75622,366.0,0.3953,62871.0
"South Bend city, Indiana",102037,33.3,40265,3084.0,0.4836,37305.0
"Kingsport city, Tennessee",53376,44.5,42856,1471.0,0.5233,59183.0
"Missouri City city, Texas",74557,39.6,87915,2755.0,0.3936,64577.0
"Cedar Hill city, Texas",48560,34.1,72463,1463.0,0.3973,48684.0
"Mount Vernon city, Washington",35026,35.3,62056,972.0,0.4147,42321.0
"Pleasant Hill city, Iowa",9871,38.3,78818,193.0,0.3413,57793.0
"Twin Lakes CDP (Adams County), Colorado",8196,38.0,69116,158.0,0.4386,46500.0
"Sequim city, Washington",7248,56.5,40155,161.0,0.47,36375.0
"Zion city, Illinois",23858,32.1,51702,1057.0,0.4275,44236.0
"Reno city, Nevada",246500,35.8,58790,7366.0,0.4661,38661.0
"Rehoboth Beach city, Delaware",1400,64.1,114583,13.0,0.6175,79375.0
"Lavon city, Texas",3271,32.5,89474,38.0,0.313,65375.0
"Morrison city, Illinois",3776,41.9,44207,77.0,0.376,38580.0
"Ramsey city, Minnesota",26638,35.8,95014,422.0,0.3424,55441.0
"Prosper town, Texas",22517,35.8,146733,220.0,0.3784,107097.0
"Pinecrest village, Florida",19244,42.3,156875,376.0,0.5296,68583.0
"Rancho Cucamonga city, California",176379,35.9,90953,4976.0,0.4088,53257.0
"Sandpoint city, Idaho",8386,41.5,43938,142.0,0.4759,30820.0
"Gresham city, Oregon",110494,36.7,54084,3492.0,0.4208,40940.0
"Greenville city, Texas",27442,34.3,44622,714.0,0.437,40545.0
"Marietta city, Georgia",60544,34.9,57452,1489.0,0.4832,41750.0
"Goodlettsville city, Tennessee",16870,40.4,60268,459.0,0.4626,49124.0
"Johnson City city, Tennessee",66515,35.6,41682,1873.0,0.5411,44960.0
"Troutdale city, Oregon",16466,34.9,76598,406.0,0.3795,40417.0
"Willard city, Missouri",5519,34.7,61188,56.0,0.4088,53382.0
"Wheaton city, Illinois",53270,37.3,103376,984.0,0.4546,73402.0
"Kirksville city, Missouri",17554,23.6,33575,524.0,0.5272,34977.0
"Western Springs village, Illinois",13272,41.4,174760,145.0,0.4272,157577.0
"Ypsilanti city, Michigan",20828,24.2,39332,1078.0,0.5105,33594.0
"Lewisville city, Texas",106386,32.8,64493,2282.0,0.3826,42828.0
"Rock Hill city, South Carolina",73334,34.6,50444,2259.0,0.4619,35135.0
"Denton city, Texas",136195,29.4,60018,3924.0,0.4538,47973.0
"Ocala city, Florida",59267,38.3,41755,2146.0,0.5326,31078.0
"Wilson city, North Carolina",49272,38.6,42036,2008.0,0.4818,33643.0
"Patterson city, California",22066,31.1,69233,926.0,0.3897,43306.0
"Minot city, North Dakota",48261,31.8,66194,732.0,0.4187,36192.0
"Homewood city, Alabama",25534,30.8,84157,392.0,0.485,56833.0
"Winooski city, Vermont",7242,31.9,51728,151.0,0.4558,33450.0
"Hilliard city, Ohio",36411,36.8,96959,690.0,0.4218,80152.0
"Ashland city, Wisconsin",7892,40.3,38222,190.0,0.4551,40690.0
"Watsonville city, California",53800,30.6,55470,1974.0,0.4374,29757.0
"Albemarle city, North Carolina",15980,40.2,44269,580.0,0.459,38770.0
"St. Petersburg city, Florida",261338,42.9,56982,7139.0,0.4798,41224.0
"Bristol city, Connecticut",60218,40.5,67507,1829.0,0.4347,49730.0
"Imperial Beach city, California",27315,32.5,53690,1141.0,0.4235,39982.0
"Douglasville city, Georgia",33052,34.9,58560,1593.0,0.4249,50709.0
"Euless city, Texas",55763,35.3,65921,1112.0,0.4033,51938.0
"St. Peters city, Missouri",57273,39.5,78786,1283.0,0.3813,66182.0
"Lancaster city, Wisconsin",3730,34.4,54835,33.0,0.4057,41935.0
"Albuquerque city, New Mexico",559374,36.6,52911,15866.0,0.4703,42791.0
"Farmers Branch city, Texas",39039,35.7,74464,793.0,0.409,39698.0
"Marshfield city, Missouri",7318,32.0,44844,203.0,0.3631,39559.0
"Hickory city, North Carolina",40634,38.1,47652,1729.0,0.5118,32711.0
"Banning city, California",31072,41.5,42274,1010.0,0.4584,31301.0
"Newark city, New Jersey",281054,34.4,35199,15212.0,0.5032,32714.0
"Elkhart city, Indiana",52257,33.5,40750,1900.0,0.4262,33232.0
"Elkhart city, Indiana",52257,33.5,40750,1900.0,0.4262,33232.0
"Montrose city, Colorado",19238,43.6,46250,592.0,0.4607,33455.0
"Cincinnati city, Ohio",301394,32.2,40640,12691.0,0.5408,45813.0
"Sierra Vista city, Arizona",43398,36.2,59585,979.0,0.4253,56184.0
"Waterloo city, Wisconsin",3337,43.1,75438,104.0,0.4001,40417.0
"Fort Mohave CDP, Arizona",15593,51.4,50931,525.0,0.4295,42885.0
"Collinsville city, Illinois",24626,38.5,53490,911.0,0.4366,60573.0
"Union city, Missouri",11475,33.9,52577,217.0,0.4113,31910.0
"Bartlett city, Tennessee",59102,41.8,84688,1191.0,0.3716,61585.0
"Jupiter town, Florida",64565,46.1,86027,1312.0,0.5216,81036.0
"Avondale city, Arizona",84736,30.8,61825,2545.0,0.3988,43926.0
"Boerne city, Texas",15891,38.6,70745,129.0,0.4508,36071.0
"King George CDP, Virginia",4902,35.5,96184,61.0,0.3422,43333.0
"Alamosa city, Colorado",9441,28.4,35085,594.0,0.5089,29402.0
"Mobile city, Alabama",190432,37.7,42321,5447.0,0.5071,49407.0
"Asheville city, North Carolina",91560,39.0,49930,1418.0,0.4666,37318.0
"Georgetown city, South Carolina",8866,39.2,32593,280.0,0.5003,33750.0
"Ennis city, Texas",19559,33.8,57619,314.0,0.3978,34607.0
"Brownsville city, Texas",182271,30.6,38588,4539.0,0.4764,30824.0
"Marble Falls city, Texas",6542,42.8,43793,199.0,0.3932,21630.0
"Grand Ledge city, Michigan",7842,39.1,59738,125.0,0.4414,35060.0
"Abilene city, Texas",124156,31.6,50659,2050.0,0.4485,41003.0
"Baraboo city, Wisconsin",12138,39.8,52109,417.0,0.4341,46065.0
"Mebane city, North Carolina",14952,34.7,64726,432.0,0.4008,52500.0
"McMinnville city, Tennessee",13695,39.3,35909,398.0,0.506,29180.0
"Fremont city, California",235740,38.3,133354,4473.0,0.4004,98870.0
"Aurora city, Colorado",369111,34.4,65100,9424.0,0.4094,42040.0
"Dothan city, Alabama",67894,39.6,47081,2226.0,0.5042,38958.0
"Goodyear city, Arizona",80371,38.7,83866,1635.0,0.3825,54229.0
"Omaha city, Nebraska",475862,34.5,60092,11232.0,0.4719,38288.0
"Poulsbo city, Washington",10602,42.5,73388,255.0,0.4102,63013.0
"Baltimore city, Maryland",609032,35.4,50379,25391.0,0.5145,42294.0
"Escondido city, California",151300,34.4,64038,3622.0,0.4425,44827.0
"Calexico city, California",39946,31.8,43592,2529.0,0.4775,31526.0
"Celina city, Texas",11116,34.1,124375,59.0,0.435,131563.0
"Jackson city, Missouri",14872,35.5,64497,563.0,0.4476,50898.0
"Plantation city, Florida",93449,40.2,74903,2212.0,0.4476,55260.0
"Coeur d'Alene city, Idaho",50540,36.8,51073,1060.0,0.4431,36029.0
"Muskegon city, Michigan",37633,35.8,32433,1446.0,0.4614,34395.0
"Clemson city, South Carolina",16463,24.4,43568,308.0,0.5512,38150.0
"Portage city, Wisconsin",10406,36.6,45448,304.0,0.4609,41150.0
"Sedro-Woolley city, Washington",11739,33.2,60863,315.0,0.3801,47065.0
"Park Ridge city, Illinois",37457,44.9,111642,552.0,0.4422,77905.0
"Madisonville city, Kentucky",18936,36.3,44720,609.0,0.4629,36481.0
"Alachua city, Florida",9867,36.9,63318,316.0,0.508,62292.0
"Mount Joy borough, Pennsylvania",8163,37.4,55833,136.0,0.3912,43347.0
"Yamhill city, Oregon",1346,36.8,83393,24.0,0.3825,50139.0
"Steubenville city, Ohio",17988,40.0,38600,658.0,0.4795,42273.0
"Sawmills town, North Carolina",5165,46.6,52951,124.0,0.4134,34042.0
"Moore city, Oklahoma",60943,34.3,65915,1487.0,0.3724,43888.0
"Summit village, Wisconsin",4917,51.1,113854,74.0,0.4131,92204.0
