NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place,Cluster
"Sycamore city, Illinois",17726,36.6,71698,283.0,0.4021,16169.0,2844.0,4476.0,9402.0,46607.0,789.0,4258.0,7020.0,222.0,4424.0,17,74223,0
"Bloomingdale village, Illinois",22027,41.8,86350,548.0,0.4307,17142.0,3902.0,4143.0,12396.0,62819.0,4135.0,3882.0,8754.0,229.0,6228.0,17,6587,0
"Wheaton city, Illinois",53270,37.3,103376,984.0,0.4546,45143.0,12824.0,12075.0,27813.0,73402.0,6630.0,11871.0,20439.0,1265.0,14044.0,17,81048,0
"Morrison city, Illinois",3776,41.9,44207,77.0,0.376,3666.0,414.0,682.0,1778.0,38580.0,95.0,682.0,1808.0,195.0,1243.0,17,50530,0
"Rochester Hills city, Michigan",74206,42.2,93953,1115.0,0.4355,59663.0,16785.0,15839.0,38117.0,95926.0,14885.0,15527.0,30559.0,1671.0,22254.0,26,69035,0
"Avondale city, Arizona",84736,30.8,61825,2545.0,0.3988,58790.0,6379.0,23531.0,43355.0,43926.0,13745.0,21198.0,27768.0,1701.0,14343.0,4,4720,0
"Buckeye city, Arizona",69744,34.3,71707,1625.0,0.3618,51202.0,6410.0,18150.0,29256.0,50050.0,7254.0,16495.0,21434.0,2559.0,14206.0,4,7940,0
"Homewood city, Alabama",25534,30.8,84157,392.0,0.485,20131.0,4808.0,6108.0,14374.0,56833.0,1944.0,5905.0,11429.0,1863.0,6005.0,1,35800,0
"Henderson city, Kentucky",28625,39.7,39887,632.0,0.4694,23815.0,1963.0,6041.0,12594.0,41307.0,601.0,5723.0,13322.0,1283.0,5926.0,21,35866,0
"Owensboro city, Kentucky",59536,38.0,43369,1491.0,0.4813,51412.0,5600.0,13589.0,27799.0,42219.0,2157.0,12552.0,27352.0,2013.0,14407.0,21,58620,0
"Shawnee city, Kansas",65540,38.4,87120,1107.0,0.4323,56444.0,13773.0,16158.0,37626.0,59107.0,4080.0,15738.0,25708.0,1192.0,17901.0,20,64500,0
"Coffeyville city, Kansas",9457,36.5,33750,237.0,0.5232,7122.0,844.0,2189.0,3948.0,43065.0,374.0,2047.0,4927.0,988.0,2161.0,20,14600,0
"Bartow town, Georgia",225,53.4,27500,0.0,0.4637,109.0,24.0,41.0,104.0,27188.0,3.0,33.0,137.0,41.0,70.0,13,5680,0
"Carmel city, Indiana",97464,39.4,112765,1345.0,0.4609,81320.0,26310.0,25265.0,53363.0,112454.0,11894.0,25025.0,39408.0,2454.0,27951.0,18,10342,0
"Elgin city, Illinois",112653,35.0,69041,3374.0,0.4221,69646.0,11356.0,29128.0,59099.0,38251.0,29819.0,26408.0,39275.0,2372.0,25763.0,17,23074,0
"West Chicago city, Illinois",27180,34.0,78116,647.0,0.4316,18883.0,3010.0,7420.0,14680.0,31115.0,8851.0,6647.0,7968.0,471.0,5078.0,17,80060,0
"Grand Ledge city, Michigan",7842,39.1,59738,125.0,0.4414,7548.0,1112.0,1670.0,4215.0,35060.0,85.0,1654.0,3733.0,99.0,2361.0,26,33420,0
"Lawrence city, Kansas",96369,28.2,53639,2493.0,0.4846,76905.0,14510.0,15718.0,58613.0,39907.0,8334.0,15389.0,41341.0,2946.0,17250.0,20,38900,0
"Marietta city, Georgia",60544,34.9,57452,1489.0,0.4832,33411.0,11034.0,13004.0,33086.0,41750.0,10534.0,12162.0,26878.0,2324.0,10304.0,13,49756,0
"Douglasville city, Georgia",33052,34.9,58560,1593.0,0.4249,10321.0,4532.0,7716.0,18018.0,50709.0,2869.0,7027.0,13621.0,946.0,5496.0,13,23900,0
"The Villages CDP, Florida",79372,71.7,63841,91.0,0.4046,77787.0,19128.0,356.0,10308.0,77647.0,4097.0,301.0,54186.0,10316.0,42057.0,12,71625,0
"Seminole city, Florida",18657,55.9,53975,213.0,0.5265,16836.0,3138.0,2385.0,8180.0,81508.0,1702.0,2355.0,11050.0,2402.0,6379.0,12,64975,0
"Westminster city, Colorado",112962,36.6,76142,2604.0,0.4036,95970.0,19594.0,24080.0,66007.0,54798.0,10240.0,22344.0,45925.0,1833.0,28713.0,8,83835,0
"Parker town, Colorado",54352,34.7,110934,898.0,0.3524,47691.0,11798.0,16124.0,30830.0,96028.0,3994.0,15646.0,19434.0,555.0,14438.0,8,57630,0
"Imperial Beach city, California",27315,32.5,53690,1141.0,0.4235,19727.0,2535.0,6140.0,13886.0,39982.0,5660.0,5620.0,10762.0,1215.0,2940.0,6,36294,0
"Escondido city, California",151300,34.4,64038,3622.0,0.4425,110216.0,15595.0,34893.0,78387.0,44827.0,41988.0,30881.0,49114.0,2013.0,24111.0,6,22804,0
"Costa Mesa city, California",113159,35.2,84138,2848.0,0.44,80369.0,21931.0,21883.0,67397.0,60166.0,28280.0,20181.0,43122.0,2136.0,15707.0,6,16532,0
"Hanford city, California",56475,33.5,62413,1896.0,0.4321,41935.0,4348.0,15273.0,26338.0,38322.0,10074.0,14304.0,19738.0,961.0,10709.0,6,31960,0
"Shelbyville city, Kentucky",16009,36.6,61269,328.0,0.4572,12848.0,1259.0,3616.0,8710.0,43560.0,1485.0,3406.0,6190.0,345.0,3026.0,21,70050,0
"Old Orchard Beach CDP, Maine",8862,53.4,58080,219.0,0.5127,8382.0,1629.0,722.0,5295.0,46294.0,334.0,687.0,6744.0,1956.0,3241.0,23,55120,0
"Pinecrest village, Florida",19244,42.3,156875,376.0,0.5296,16870.0,4080.0,4810.0,9627.0,68583.0,6852.0,4678.0,6541.0,508.0,4650.0,12,56625,0
"Vero Beach city, Florida",16857,53.4,48844,390.0,0.582,14321.0,2681.0,2100.0,7765.0,39405.0,1685.0,1987.0,10850.0,3493.0,4704.0,12,74150,0
"Ocala city, Florida",59267,38.3,41755,2146.0,0.5326,43735.0,5939.0,12662.0,26532.0,31078.0,5019.0,12007.0,26885.0,4136.0,10491.0,12,50750,0
"Roswell city, Georgia",94498,38.6,99726,1868.0,0.4628,70923.0,24134.0,23264.0,52226.0,82166.0,17522.0,22620.0,36749.0,2369.0,23488.0,13,67284,0
"Port St. Lucie city, Florida",189396,42.5,60587,4251.0,0.4034,139267.0,19695.0,39912.0,89844.0,50847.0,35402.0,36279.0,73180.0,8120.0,50039.0,12,58715,0
"Frederick city, Maryland",70887,35.9,76118,2046.0,0.3993,48270.0,10635.0,14887.0,40578.0,56836.0,14436.0,14131.0,29600.0,1848.0,15723.0,24,30325,0
"Hernando city, Mississippi",15942,37.0,79195,227.0,0.4262,13202.0,2276.0,4327.0,8033.0,61000.0,442.0,3930.0,6091.0,321.0,4762.0,28,31780,0
"Madisonville city, Kentucky",18936,36.3,44720,609.0,0.4629,15560.0,1516.0,4712.0,8507.0,36481.0,354.0,4301.0,8786.0,1202.0,4276.0,21,49368,0
"Destin city, Florida",13702,42.3,79000,278.0,0.4527,11874.0,2656.0,2540.0,7639.0,29508.0,1390.0,2481.0,13800.0,8022.0,4039.0,12,17325,0
"Boulder city, Colorado",106392,28.6,69520,2893.0,0.5327,92957.0,22168.0,12898.0,62807.0,74740.0,11715.0,12742.0,45145.0,3024.0,20368.0,8,7850,0
"Peabody city, Massachusetts",52906,45.8,73217,1139.0,0.444,47563.0,8743.0,8752.0,28754.0,61463.0,8161.0,8190.0,22538.0,825.0,14290.0,25,52490,0
"Gainesville city, Georgia",39991,31.5,51520,575.0,0.4826,29924.0,3861.0,10701.0,18781.0,27718.0,9374.0,9053.0,15514.0,2200.0,5562.0,13,31908,0
"Columbus city, Georgia",195739,34.0,46408,7827.0,0.498,84841.0,19507.0,45973.0,92275.0,31932.0,10455.0,41857.0,84723.0,11964.0,34936.0,13,19000,0
"Doral city, Florida",59972,35.4,77493,1089.0,0.4227,54706.0,11450.0,15503.0,30947.0,53676.0,40039.0,14586.0,23195.0,5362.0,8528.0,12,17935,0
"Commerce City city, Colorado",56448,31.6,77065,1262.0,0.3859,46066.0,5149.0,17955.0,28958.0,44892.0,8864.0,16886.0,16818.0,486.0,12084.0,8,16495,0
"Rehoboth Beach city, Delaware",1400,64.1,114583,13.0,0.6175,1375.0,527.0,65.0,664.0,79375.0,112.0,65.0,3305.0,2542.0,622.0,10,60290,0
"Fremont city, California",235740,38.3,133354,4473.0,0.4004,56143.0,49863.0,52766.0,124454.0,98870.0,114596.0,50327.0,79170.0,3483.0,45912.0,6,26000,0
"Greencastle city, Indiana",10296,26.7,47471,103.0,0.4156,9325.0,595.0,1701.0,4523.0,41828.0,613.0,1612.0,3937.0,191.0,1751.0,18,29358,0
"Rockville city, Maryland",67542,38.7,106576,1686.0,0.4234,38056.0,13252.0,13925.0,38470.0,99545.0,23030.0,13166.0,26962.0,1400.0,14172.0,24,67675,0
"Roeland Park city, Kansas",6769,33.8,75965,115.0,0.3877,5896.0,1701.0,1131.0,4411.0,51250.0,467.0,1090.0,3214.0,204.0,2160.0,20,60825,0
"Pleasant Hill city, Iowa",9871,38.3,78818,193.0,0.3413,8697.0,1633.0,2616.0,5260.0,57793.0,583.0,2508.0,3783.0,189.0,2658.0,19,63525,0
"Collinsville city, Illinois",24626,38.5,53490,911.0,0.4366,19806.0,2925.0,5143.0,13723.0,60573.0,934.0,5020.0,11608.0,1062.0,6895.0,17,15599,0
"Champaign city, Illinois",87636,27.4,48415,2132.0,0.5466,56262.0,10180.0,13653.0,46033.0,40882.0,12854.0,13295.0,39125.0,4489.0,14744.0,17,12385,0
"Newark city, Delaware",33448,24.8,58434,690.0,0.5059,25718.0,4375.0,3408.0,15901.0,64694.0,4520.0,3182.0,11909.0,1172.0,5582.0,10,50670,0
"Tamarac city, Florida",65874,47.1,48930,1667.0,0.4451,38645.0,8303.0,11149.0,34190.0,27114.0,24245.0,10214.0,31294.0,4311.0,19547.0,12,70675,0
"Plantation city, Florida",93449,40.2,74903,2212.0,0.4476,61650.0,17615.0,18560.0,51922.0,55260.0,28975.0,17029.0,37692.0,3904.0,21548.0,12,57425,0
"DeRidder city, Louisiana",10861,34.7,45536,442.0,0.485,6353.0,1048.0,2280.0,5205.0,63500.0,492.0,1976.0,4645.0,807.0,2287.0,22,20610,0
"Columbus city, Indiana",48150,35.3,63405,1011.0,0.4437,38399.0,7328.0,10998.0,24582.0,66351.0,7221.0,10487.0,20352.0,1520.0,11665.0,18,14734,0
"Georgetown city, Kentucky",33605,33.4,65812,678.0,0.4003,28633.0,3664.0,8039.0,18650.0,55054.0,1191.0,7865.0,13717.0,802.0,7958.0,21,30700,0
"Cape Coral city, Florida",183942,46.7,61599,5405.0,0.4177,164577.0,21857.0,32079.0,90218.0,40250.0,27942.0,29637.0,83948.0,18661.0,48657.0,12,10275,0
"Waukegan city, Illinois",87297,32.3,49803,3472.0,0.4356,44518.0,6047.0,23500.0,45367.0,32084.0,26596.0,21300.0,31842.0,2401.0,13690.0,17,79293,0
"Zion city, Illinois",23858,32.1,51702,1057.0,0.4275,12656.0,1803.0,6338.0,11599.0,44236.0,3154.0,5660.0,8985.0,1007.0,4511.0,17,84220,0
"Hoffman Estates village, Illinois",50841,38.6,91917,973.0,0.3852,28719.0,10749.0,11840.0,28768.0,63349.0,15265.0,11401.0,18563.0,846.0,13412.0,17,35411,0
"St. Charles city, Illinois",32686,42.8,98393,596.0,0.4405,28384.0,6738.0,6920.0,17726.0,69263.0,2986.0,6696.0,13122.0,480.0,9059.0,17,66703,0
"Cottage Grove city, Minnesota",36602,36.8,102039,369.0,0.3413,30754.0,5845.0,10097.0,20572.0,63261.0,2457.0,9816.0,12643.0,481.0,10558.0,27,13456,0
"Goodyear city, Arizona",80371,38.7,83866,1635.0,0.3825,60943.0,10251.0,18804.0,36673.0,54229.0,9725.0,17331.0,28644.0,3120.0,19750.0,4,28380,0
"Oro Valley town, Arizona",44630,54.0,83341,1043.0,0.4325,39685.0,9179.0,7643.0,18352.0,105417.0,3721.0,7553.0,22346.0,2824.0,14717.0,4,51600,0
"Richmond city, Kentucky",35133,26.1,36302,1349.0,0.5042,30679.0,3394.0,5741.0,18691.0,50063.0,1070.0,5465.0,14799.0,1482.0,4771.0,21,65226,0
"Bloomington city, Indiana",84116,24.0,37077,2940.0,0.539,68891.0,10732.0,8746.0,43921.0,35750.0,9845.0,8509.0,33963.0,3339.0,10862.0,18,5860,0
"Idaho Falls city, Idaho",61459,33.4,53148,1124.0,0.468,54167.0,7744.0,16881.0,28925.0,32279.0,3566.0,16112.0,24617.0,1728.0,14442.0,16,39700,0
"Boca Raton city, Florida",97468,48.5,83114,2429.0,0.5476,84456.0,23318.0,15828.0,48276.0,86205.0,19901.0,15549.0,52911.0,11407.0,29559.0,12,7300,0
"Sandpoint city, Idaho",8386,41.5,43938,142.0,0.4759,7951.0,1378.0,1765.0,4075.0,30820.0,247.0,1740.0,4028.0,650.0,1753.0,16,72100,0
"Hibbing city, Minnesota",16014,41.3,49009,353.0,0.4347,14618.0,1652.0,3856.0,7153.0,46613.0,636.0,3688.0,7978.0,1223.0,4859.0,27,28790,0
"Bemidji city, Minnesota",15132,27.9,32193,459.0,0.5067,11952.0,1384.0,2757.0,7314.0,38750.0,205.0,2662.0,6668.0,529.0,2669.0,27,5068,0
"Gretna city, Louisiana",17774,39.6,47244,645.0,0.5231,9489.0,1760.0,2941.0,8872.0,41848.0,2405.0,2676.0,8282.0,1126.0,3559.0,22,31915,0
"Jupiter town, Florida",64565,46.1,86027,1312.0,0.5216,58077.0,14124.0,11978.0,34115.0,81036.0,8406.0,11783.0,33326.0,7140.0,19378.0,12,35875,0
"Forsyth city, Georgia",4077,39.9,32173,214.0,0.6127,1878.0,348.0,999.0,1799.0,34276.0,104.0,944.0,2003.0,316.0,901.0,13,30732,0
"Gainesville city, Florida",132127,26.3,37264,3443.0,0.5273,86422.0,16705.0,16410.0,66826.0,36446.0,15316.0,15380.0,60300.0,11157.0,19133.0,12,25175,0
"Largo city, Florida",84130,48.3,44323,2382.0,0.4502,73172.0,10295.0,12189.0,41987.0,35921.0,10884.0,11508.0,46891.0,9921.0,21636.0,12,39425,0
"Ypsilanti city, Michigan",20828,24.2,39332,1078.0,0.5105,13519.0,2243.0,2751.0,12699.0,33594.0,1492.0,2561.0,8617.0,874.0,2464.0,26,89140,0
"Novi city, Michigan",60014,38.6,98020,903.0,0.4463,38808.0,13429.0,14298.0,32113.0,99912.0,15519.0,13959.0,24688.0,1217.0,15655.0,26,59440,0
"Elkhart city, Indiana",52257,33.5,40750,1900.0,0.4262,39916.0,3444.0,13877.0,24824.0,33232.0,6453.0,12798.0,23253.0,3183.0,10185.0,18,20728,0
"Eudora city, Kansas",6602,33.1,87692,133.0,0.3632,5932.0,1027.0,2134.0,3615.0,49050.0,108.0,2110.0,2203.0,89.0,1425.0,20,21675,0
"Groton city, Connecticut",9030,35.7,52859,337.0,0.4383,6053.0,1042.0,1803.0,5529.0,58864.0,1023.0,1670.0,4956.0,549.0,1715.0,9,34180,0
"Peoria city, Illinois",113532,35.2,51771,4991.0,0.5156,68180.0,15297.0,26260.0,53944.0,65126.0,8610.0,24734.0,53879.0,7756.0,25768.0,17,59000,0
"O'Fallon city, Illinois",29333,36.7,90349,651.0,0.4039,23313.0,4875.0,7665.0,15371.0,64484.0,1320.0,7189.0,11612.0,638.0,7590.0,17,55249,0
"Grand Rapids city, Michigan",198401,31.4,50103,6895.0,0.4496,133390.0,31113.0,41566.0,109223.0,34852.0,21679.0,38145.0,81648.0,6226.0,41807.0,26,34000,0
"Owatonna city, Minnesota",25685,38.5,62642,521.0,0.4182,22791.0,3369.0,6307.0,13737.0,44830.0,1489.0,6068.0,11090.0,566.0,7491.0,27,49300,0
"Alachua city, Florida",9867,36.9,63318,316.0,0.508,6580.0,1548.0,2533.0,4788.0,62292.0,796.0,2331.0,4099.0,528.0,2602.0,12,375,0
"Fort Lauderdale city, Florida",180124,42.1,59450,6941.0,0.5438,110202.0,30394.0,30158.0,98556.0,50417.0,44544.0,26072.0,95864.0,21297.0,39304.0,12,24000,0
"Miami Lakes town, Florida",30864,41.3,75762,475.0,0.46,28435.0,5041.0,6270.0,17047.0,37642.0,15774.0,5958.0,11194.0,624.0,6885.0,12,45100,0
"University CDP (Hillsborough County), Florida",48436,27.2,28495,2644.0,0.4844,25732.0,4047.0,8736.0,25696.0,37037.0,11187.0,8342.0,22082.0,3079.0,2742.0,12,73163,0
"Tinley Park village, Illinois",56505,40.1,78343,1667.0,0.3865,49121.0,9755.0,12407.0,30620.0,64441.0,6003.0,11872.0,22205.0,935.0,17942.0,17,75484,0
"Downers Grove village, Illinois",49470,42.7,94893,1088.0,0.4581,43538.0,11737.0,10426.0,26509.0,73872.0,5734.0,9976.0,21362.0,1059.0,15415.0,17,20591,0
"Oak Brook village, Illinois",8075,56.1,141055,104.0,0.5351,5035.0,1939.0,1468.0,3088.0,68750.0,2337.0,1214.0,3282.0,243.0,2915.0,17,54534,0
"Western Springs village, Illinois",13272,41.4,174760,145.0,0.4272,12813.0,3714.0,4274.0,6182.0,157577.0,505.0,4203.0,4560.0,229.0,4179.0,17,80242,0
"Elmhurst city, Illinois",46463,39.9,118609,998.0,0.4639,41513.0,10055.0,12092.0,24170.0,85490.0,4435.0,11947.0,17113.0,904.0,13104.0,17,23620,0
"Orland Park village, Illinois",58749,46.0,90345,1154.0,0.4279,51789.0,11384.0,11694.0,30023.0,67445.0,9247.0,11193.0,23284.0,1066.0,19381.0,17,56640,0
"Macon city, Illinois",1207,44.5,67188,21.0,0.322,1135.0,99.0,257.0,683.0,49063.0,0.0,249.0,594.0,103.0,421.0,17,45941,0
"Margate city, Florida",58023,46.4,45594,1731.0,0.4601,35124.0,6558.0,8827.0,31969.0,30641.0,21344.0,7420.0,27542.0,4236.0,16300.0,12,43125,0
"Post Falls city, Idaho",33225,33.9,54021,477.0,0.3813,31004.0,3074.0,9287.0,16201.0,34016.0,686.0,8812.0,12842.0,361.0,9041.0,16,64810,0
"Brooklyn Park city, Minnesota",80068,35.0,73940,1629.0,0.4121,36307.0,10984.0,21736.0,43827.0,44262.0,18441.0,19988.0,28732.0,1457.0,19559.0,27,7966,0
