NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place
"Gully city, Minnesota",70,49.5,35500,0.0,0.3428,66.0,1.0,12.0,37.0,-666666666.0,0.0,12.0,46.0,8.0,19.0,27,26270
"McIntosh city, Minnesota",612,47.4,39444,17.0,0.4183,554.0,37.0,112.0,285.0,41875.0,24.0,112.0,321.0,45.0,173.0,27,39050
"Detroit Lakes city, Minnesota",9197,40.3,49173,153.0,0.5202,8333.0,1286.0,1919.0,4656.0,38728.0,115.0,1898.0,5039.0,964.0,2406.0,27,15832
"Pine Point CDP, Minnesota",373,23.0,26477,39.0,0.3944,11.0,35.0,104.0,82.0,-666666666.0,3.0,57.0,138.0,43.0,65.0,27,51234
"White Earth CDP, Minnesota",567,27.6,20250,19.0,0.4579,22.0,15.0,137.0,142.0,-666666666.0,10.0,106.0,235.0,51.0,73.0,27,70006
"Columbia Heights city, Minnesota",20118,36.6,57882,629.0,0.3847,12726.0,2901.0,4133.0,11103.0,44931.0,3794.0,3974.0,8507.0,445.0,5384.0,27,12700
"Ramsey city, Minnesota",26638,35.8,95014,422.0,0.3424,23843.0,3496.0,6803.0,15764.0,55441.0,1644.0,6498.0,9331.0,190.0,7798.0,27,53026
"Ceylon city, Minnesota",332,40.8,42500,7.0,0.3509,327.0,15.0,61.0,160.0,47500.0,4.0,61.0,190.0,40.0,124.0,27,10792
"Granada city, Minnesota",257,41.8,46528,0.0,0.3539,252.0,10.0,58.0,145.0,33750.0,2.0,53.0,135.0,20.0,102.0,27,24884
"Gonvick city, Minnesota",260,40.3,33864,13.0,0.4475,205.0,28.0,72.0,102.0,44167.0,7.0,72.0,138.0,18.0,100.0,27,24344
"Miesville city, Minnesota",119,34.0,95625,2.0,0.2903,119.0,11.0,20.0,74.0,53750.0,0.0,20.0,55.0,2.0,47.0,27,42092
"New Trier city, Minnesota",93,39.6,83750,1.0,0.2902,93.0,17.0,16.0,62.0,61875.0,3.0,15.0,32.0,0.0,32.0,27,46024
"Randolph city, Minnesota",481,36.1,76042,14.0,0.2761,477.0,30.0,133.0,294.0,45000.0,2.0,131.0,173.0,6.0,143.0,27,53098
"East Lansing city, Michigan",48729,21.4,39867,2204.0,0.5606,37006.0,4795.0,3408.0,25652.0,25671.0,7000.0,3351.0,15182.0,1663.0,4808.0,26,24120
"Muskegon city, Michigan",37633,35.8,32433,1446.0,0.4614,22126.0,2281.0,7545.0,15293.0,34395.0,915.0,6930.0,16109.0,2157.0,6886.0,26,56320
"Jenison CDP, Michigan",17431,39.5,69481,315.0,0.3714,16487.0,2460.0,4236.0,8975.0,48194.0,524.0,3994.0,6820.0,101.0,5680.0,26,41680
"Webberville village, Michigan",1322,36.8,58529,48.0,0.461,1306.0,118.0,311.0,703.0,51010.0,4.0,295.0,559.0,53.0,404.0,26,85080
"Romulus city, Michigan",23527,35.5,51504,1201.0,0.4275,12662.0,1833.0,5616.0,11336.0,50580.0,751.0,4533.0,9180.0,667.0,5482.0,26,69420
"Ludington city, Michigan",8069,43.9,45302,203.0,0.4845,7689.0,819.0,1603.0,3860.0,35234.0,161.0,1459.0,4492.0,889.0,2108.0,26,49640
"Warren city, Michigan",134797,39.4,49619,5150.0,0.4301,91326.0,12203.0,27706.0,67093.0,46161.0,19095.0,25387.0,58308.0,4656.0,37089.0,26,84000
"Beal City CDP, Michigan",336,37.4,72614,8.0,0.3325,336.0,63.0,83.0,213.0,65208.0,0.0,83.0,161.0,32.0,118.0,26,06360
"Lincoln village, Michigan",350,48.4,29643,22.0,0.4454,332.0,9.0,53.0,127.0,40625.0,0.0,47.0,238.0,72.0,100.0,26,47560
"Algonac city, Michigan",4028,42.8,53423,171.0,0.3824,3867.0,338.0,728.0,1967.0,44028.0,81.0,656.0,1971.0,209.0,1247.0,26,01180
"Level Park-Oak Park CDP, Michigan",3833,43.2,44494,190.0,0.3847,3475.0,235.0,451.0,1960.0,41960.0,23.0,431.0,1751.0,143.0,1458.0,26,47230
"Prescott village, Michigan",246,51.0,35000,5.0,0.406,244.0,10.0,42.0,79.0,19583.0,3.0,42.0,146.0,40.0,89.0,26,66300
"Three Oaks village, Michigan",1354,44.3,50903,48.0,0.4654,1299.0,118.0,264.0,752.0,39107.0,40.0,256.0,759.0,128.0,465.0,26,79720
"Zilwaukee city, Michigan",1668,36.3,55625,59.0,0.368,1547.0,99.0,347.0,918.0,42321.0,27.0,302.0,712.0,44.0,515.0,26,89320
"Baraga village, Michigan",2142,34.4,30667,54.0,0.497,902.0,95.0,299.0,447.0,32500.0,52.0,272.0,593.0,99.0,277.0,26,05320
"McBride village, Michigan",220,37.3,27083,10.0,0.433,212.0,10.0,61.0,94.0,40313.0,6.0,57.0,105.0,17.0,66.0,26,50000
"Harper Woods city, Michigan",13895,36.0,48418,779.0,0.4188,4563.0,1197.0,3277.0,7057.0,44302.0,486.0,3071.0,5805.0,477.0,3063.0,26,36700
"Southfield city, Michigan",73174,42.9,55705,2587.0,0.4356,16911.0,11099.0,13054.0,37510.0,55890.0,5526.0,11911.0,35120.0,2775.0,15451.0,26,74900
"Gladwin city, Michigan",2884,38.5,38258,99.0,0.4963,2725.0,159.0,675.0,1207.0,40389.0,61.0,675.0,1301.0,83.0,696.0,26,32320
"Metamora village, Michigan",534,41.2,55000,16.0,0.3761,527.0,69.0,113.0,298.0,32115.0,5.0,113.0,233.0,7.0,171.0,26,53340
"White Pigeon village, Michigan",1613,31.9,43603,33.0,0.3956,1533.0,92.0,352.0,811.0,32750.0,44.0,318.0,726.0,71.0,379.0,26,86920
"Sterling village, Michigan",538,39.9,38750,21.0,0.4022,504.0,14.0,115.0,219.0,28750.0,3.0,113.0,218.0,36.0,117.0,26,76420
"Lake Isabella village, Michigan",2063,39.2,75625,56.0,0.3458,2019.0,251.0,457.0,926.0,38333.0,8.0,436.0,1052.0,312.0,676.0,26,44715
"Belding city, Michigan",5718,34.1,41812,215.0,0.4097,5486.0,302.0,1611.0,2660.0,40145.0,46.0,1507.0,2337.0,114.0,1301.0,26,06900
"Hubbardston village, Michigan",341,48.4,50104,12.0,0.3599,309.0,17.0,57.0,143.0,42813.0,3.0,55.0,143.0,10.0,118.0,26,39660
"Rosebush village, Michigan",343,47.4,35962,12.0,0.4459,279.0,23.0,51.0,137.0,47083.0,7.0,51.0,185.0,27.0,81.0,26,69640
"Barryton village, Michigan",398,43.3,26250,12.0,0.3926,373.0,26.0,91.0,115.0,32292.0,6.0,88.0,219.0,46.0,108.0,26,05580
"Mecosta village, Michigan",404,39.5,33750,7.0,0.3898,363.0,18.0,70.0,151.0,25694.0,0.0,60.0,180.0,33.0,125.0,26,52760
"Stanwood village, Michigan",257,35.8,32361,2.0,0.4145,254.0,13.0,67.0,108.0,33750.0,2.0,66.0,104.0,13.0,83.0,26,76240
"Bellevue village, Michigan",1247,35.4,55893,34.0,0.3196,1178.0,110.0,314.0,619.0,40069.0,0.0,307.0,608.0,131.0,329.0,26,07060
"Minden City village, Michigan",150,50.8,39219,4.0,0.3556,150.0,7.0,27.0,67.0,30833.0,1.0,21.0,83.0,14.0,63.0,26,54560
"Sandusky city, Michigan",2534,42.6,39125,72.0,0.5643,2351.0,146.0,443.0,1136.0,31346.0,40.0,412.0,1085.0,29.0,560.0,26,71540
"McBain city, Michigan",659,51.6,38491,25.0,0.424,606.0,45.0,100.0,295.0,32321.0,3.0,92.0,299.0,26.0,149.0,26,49980
"Fremont city, Michigan",4055,37.0,36949,33.0,0.4339,3632.0,341.0,1064.0,1639.0,46968.0,104.0,1032.0,1833.0,143.0,1097.0,26,30700
"Casnovia village, Michigan",323,36.8,53750,8.0,0.4082,301.0,20.0,75.0,175.0,34750.0,15.0,57.0,140.0,19.0,106.0,26,13820
"Northview CDP, Michigan",15394,40.6,60829,311.0,0.4227,13775.0,2644.0,3152.0,8706.0,51638.0,684.0,2976.0,6896.0,445.0,4799.0,26,58945
"Menominee city, Michigan",8150,43.5,38784,243.0,0.4903,7848.0,664.0,1522.0,4183.0,39661.0,110.0,1468.0,4371.0,353.0,2594.0,26,53020
"Kalkaska village, Michigan",2076,41.9,35789,66.0,0.4102,1935.0,61.0,389.0,964.0,35208.0,18.0,374.0,1093.0,177.0,428.0,26,42260
"Lake Odessa village, Michigan",2079,38.4,45038,33.0,0.4097,1911.0,131.0,495.0,1008.0,33500.0,24.0,495.0,935.0,68.0,568.0,26,44880
"Muir village, Michigan",733,32.1,36250,24.0,0.4763,672.0,17.0,245.0,321.0,34125.0,0.0,217.0,264.0,8.0,162.0,26,56080
"Saranac village, Michigan",1409,40.1,47159,41.0,0.4546,1383.0,85.0,319.0,719.0,40833.0,10.0,317.0,597.0,17.0,380.0,26,71660
"Clare city, Michigan",3042,41.6,42298,114.0,0.4485,2947.0,343.0,621.0,1359.0,41488.0,64.0,590.0,1643.0,334.0,789.0,26,15920
"Morley village, Michigan",529,44.9,38125,20.0,0.4303,498.0,23.0,89.0,228.0,45250.0,8.0,68.0,231.0,38.0,123.0,26,55540
"Stevensville village, Michigan",1059,53.7,54344,13.0,0.3502,1011.0,161.0,127.0,556.0,48942.0,40.0,110.0,579.0,40.0,365.0,26,76500
"St. Johns city, Michigan",7898,40.1,56307,97.0,0.4106,7621.0,969.0,1692.0,3838.0,44191.0,126.0,1590.0,3365.0,278.0,2157.0,26,70940
"Garden village, Michigan",171,44.1,33750,8.0,0.3715,143.0,14.0,40.0,52.0,-666666666.0,8.0,35.0,95.0,25.0,59.0,26,31380
"Sherwood village, Michigan",353,39.1,44375,6.0,0.3554,328.0,3.0,80.0,130.0,35250.0,2.0,79.0,149.0,14.0,106.0,26,73420
"De Tour Village village, Michigan",264,64.3,38750,13.0,0.341,206.0,19.0,17.0,73.0,-666666666.0,4.0,15.0,296.0,174.0,117.0,26,21780
"Alanson village, Michigan",909,35.5,40658,33.0,0.374,844.0,52.0,251.0,441.0,31607.0,2.0,242.0,465.0,107.0,258.0,26,00860
"Petoskey city, Michigan",5724,41.8,45107,66.0,0.5042,5305.0,892.0,1118.0,3125.0,40921.0,95.0,1118.0,3605.0,815.0,1456.0,26,63820
