PC1,PC2
-0.32570976129723,-0.4875544419775046
1.3692472476477717,-0.4617858214791253
-0.376477322924969,-0.5012313411866817
-0.33053451849720544,-0.5000064368092548
0.4532941536309112,-0.47103418348151305
-0.29648205084688384,-0.4898050791168429
-0.2900709658227795,-0.48048329233992515
-0.34154570561216097,-0.4822606972780295
-0.35902604854849596,-0.4876392425217241
-0.3192189530412149,-0.4866347443082357
-0.2100460595114977,-0.49325263655640184
-0.3174376884123741,-0.49436344146490874
-0.3697578268400551,-0.4994759348364538
-0.3743741444519855,-0.48623386472731456
-0.3078347623413651,-0.4802877749102634
-0.378129622869487,-0.4858280982970875
-0.37861654180546217,-0.48600571967433626
-0.3559423064737125,-0.48919765716283303
-0.43704382007626275,0.2756031819826076
-0.4851612249814198,2.173836707241458
-0.37636324186366515,-0.4906582548567585
-0.35151038305067295,-0.4993963237153581
2.8581492413297562,-0.4312369975537188
-0.17859607509095676,-0.48167814331979353
-0.1494171286652206,-0.4814783280324461
2.557954331875834,-0.4395928544986405
-0.35680190374427784,-0.5022974746105027
0.5583564136016651,-0.4872316492968477
-0.2776835614893434,-0.4993790326957123
-0.43929254120563316,0.27084355243861363
-0.20983914817122046,-0.5005023392554002
-0.37114720663290596,-0.48854624767946875
-0.35404983609213614,-0.48936209095483935
-0.4897694064048343,2.1746494700161287
-0.4272704893309172,0.26143376607282104
-0.3738215792127249,-0.4847661687316
-0.33343473721793626,-0.4871587234877564
-0.364054933859296,-0.48777671034908715
-0.4370641503203829,0.27136035487282156
-0.35440512352874676,-0.49342653970425965
0.13021658725718346,-0.4779489632915856
-0.4201065785145141,0.2635389986437446
-0.41732739699308885,0.25734201643486665
0.5966926033595547,-0.46681658675451465
0.8927746898142214,-0.4800688875104027
-0.3672033226828258,-0.48429636105204754
-0.3725364957341049,-0.48906758418942076
-0.3704654393582338,-0.48877665808321524
-0.3800449208728327,-0.4950232330499565
-0.38139497761524427,-0.49631220442712537
-0.3615587809267526,-0.4983393021559082
1.505754149250607,-0.44797122904355036
1.286294637558558,-0.46894974867081174
0.4611630490980875,-0.48303404334980404
-0.3148073197783262,-0.5078467297264361
0.698660404495282,-0.4840150282638516
0.06893197389047738,-0.4897598643021913
6.210740202759455,-0.3911360162456286
-0.36509400571594636,-0.48252231408631424
-0.3616400153771734,-0.495927205677304
-0.17605047314897565,-0.4778612941855733
-0.194650953077392,-0.49365109363857945
-0.36985446454301635,-0.5023265012196642
-0.30448958693086303,-0.5058224772036584
-0.30319080795107645,-0.5090948389375113
-0.31743122683550684,-0.48108836330153176
-0.3724555095836911,-0.49694146028239294
0.2618418848216614,-0.48003000770215404
2.803654984815005,-0.43993803546480903
-0.24777079050599457,-0.48922656603469594
-0.35825030680275083,-0.497939748430144
-0.30850021207692613,-0.5082826033960218
-0.35820915515960405,-0.5054973276811169
-0.25402091752044736,-0.4934745773387829
-0.10889817115047934,-0.4786515537455232
-0.36944190654714265,-0.49357600471481083
-0.36790123530892127,-0.5034024716968045
-0.3637648951426608,-0.4820637615506746
-0.3656775990657667,-0.49779919483556523
-0.371768995645059,-0.505682372717833
-0.3144610684973278,-0.4818642146005324
-0.3765802500773128,-0.4985663430935804
-0.2793516786291756,-0.5027650260251247
-0.3554481730409458,-0.49669485934710467
-0.19398318315706872,-0.4881393706135218
-0.3692865980824435,-0.48498700005439815
0.39613428500921183,-0.48844744005006513
0.031051766342296894,-0.49224110409372196
-0.28153946550534903,-0.49292014446705495
-0.28701426959146964,-0.4941347768459791
-0.3508216445749441,-0.49866989599473077
-0.31894064469962974,-0.5034577052809107
-0.2087269250593179,-0.48293854284906496
-0.35968537833718456,-0.4986145227090809
-0.333524758601295,-0.5053163953228563
-0.009290321267575298,-0.498916334782234
-0.429117071828238,0.27016270502649137
-0.368509279161286,-0.5047426418736148
-0.40967098200555824,0.27372461595106634
-0.33113124038875125,-0.48000819869892214
-0.03897090087248956,-0.4960225686409146
0.07101340850822448,-0.473169762882035
-0.07060217149768888,-0.49881273115157077
-0.2978946137834928,-0.4835403115857169
-0.3748177417700711,-0.48911012568201573
0.3295352439699214,-0.48008454066641415
0.14147295871765875,-0.4765696023292647
-0.37527806576189726,-0.49258236950476525
-0.3666009738029482,0.2771913942971121
-0.3761916993163611,-0.4864429141495507
-0.3708678791569726,-0.4868533973693669
-0.03925028831942751,-0.48901339089140844
-0.4282229032942533,0.2786941303473402
-0.28806489048467027,-0.479581025404951
-0.3806341945457964,-0.4977116032282388
-0.4379911413408469,0.2712346279200039
-0.37488636588416213,-0.49256004869173853
-0.4380265911996012,0.2691424295854803
-0.38310075882023487,-0.49019040937901864
