City,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,State,Place,Cluster
"St. Cloud city, Florida",51158,35.6,55440,1479.0,0.3991,37438.0,4479.0,12,62625,3
"Fort Smith city, Arkansas",87743,36.5,41724,1969.0,0.4871,56592.0,8628.0,5,24550,3
"Jonesboro city, Arkansas",76036,32.8,45931,2607.0,0.4979,54628.0,8437.0,5,35710,3
"Commerce City city, Colorado",56448,31.6,77065,1262.0,0.3859,46066.0,5149.0,8,16495,3
"Wyoming city, Michigan",75702,33.5,54328,1876.0,0.4002,55151.0,7494.0,26,88940,3
"Montebello city, California",62742,36.1,56150,2238.0,0.4358,35330.0,6102.0,6,48816,3
"Pico Rivera city, California",63001,37.1,67636,1612.0,0.4012,32910.0,3949.0,6,56924,3
"South Whittier CDP, California",60357,33.4,71458,1570.0,0.3885,24758.0,4169.0,6,73430,3
"Rancho Cordova city, California",73147,34.5,65307,2839.0,0.4259,43607.0,9584.0,6,59444,3
"Lodi city, California",65846,35.0,58763,2216.0,0.4537,40864.0,5367.0,6,42202,3
"Lafayette city, Indiana",72581,33.2,46374,2097.0,0.4249,60801.0,7602.0,18,40788,3
"Champaign city, Illinois",87636,27.4,48415,2132.0,0.5466,56262.0,10180.0,17,12385,3
"Revere city, Massachusetts",53692,39.2,62568,1589.0,0.4546,41933.0,5594.0,25,56585,3
"Bellflower city, California",77195,34.6,60011,2242.0,0.4361,24423.0,6696.0,6,4982,3
"Council Bluffs city, Iowa",62355,38.4,53524,1410.0,0.416,56806.0,5270.0,19,16860,3
"Caldwell city, Idaho",54887,29.7,49046,1663.0,0.3939,40185.0,3311.0,16,12250,3
"Malden city, Massachusetts",60984,34.6,65975,1704.0,0.4666,32411.0,10062.0,25,37875,3
"Idaho Falls city, Idaho",61459,33.4,53148,1124.0,0.468,54167.0,7744.0,16,39700,3
"North Miami city, Florida",62489,36.0,41611,2479.0,0.4984,20920.0,5508.0,12,49450,3
"Apopka city, Florida",51800,37.3,66057,1532.0,0.408,32372.0,6479.0,12,1700,3
"Pine Hills CDP, Florida",78995,31.0,40894,3657.0,0.4256,11765.0,5005.0,12,56825,3
"Bowling Green city, Kentucky",67600,27.0,42216,1994.0,0.5036,50556.0,7037.0,21,8902,3
"Cicero town, Illinois",82330,30.5,49367,2142.0,0.4049,28100.0,3576.0,17,14351,3
"Stonecrest city, Georgia",54202,33.2,49865,2265.0,0.4151,1981.0,6890.0,13,73784,3
"Normal town, Illinois",54891,24.6,58111,852.0,0.4855,44875.0,8246.0,17,53234,3
"Wilmington city, Delaware",70644,35.6,45032,2892.0,0.5439,25131.0,7810.0,10,77580,3
"Gulfport city, Mississippi",71676,34.8,39171,3796.0,0.4851,40640.0,6944.0,28,29700,3
"Elkhart city, Indiana",52257,33.5,40750,1900.0,0.4262,39916.0,3444.0,18,20728,3
"Gary city, Indiana",76010,39.0,31936,3839.0,0.4871,11617.0,4255.0,18,27000,3
"Kenner city, Louisiana",66777,37.0,54975,1574.0,0.4664,42980.0,7776.0,22,39475,3
"Bossier City city, Louisiana",68248,34.0,50340,1567.0,0.4494,44784.0,6604.0,22,8920,3
"East Hartford CDP, Connecticut",50272,37.8,55967,2033.0,0.4386,27716.0,4472.0,9,22700,3
"Decatur city, Illinois",72359,40.2,42701,3111.0,0.4835,51508.0,6340.0,17,18823,3
"Dearborn Heights city, Michigan",55857,36.9,49750,1489.0,0.4428,48172.0,5105.0,26,21020,3
"Kentwood city, Michigan",51693,34.4,54197,864.0,0.4078,32756.0,7739.0,26,42820,3
"Chicopee city, Massachusetts",55421,39.7,53225,1679.0,0.4277,47556.0,5102.0,25,13660,3
"Waterloo city, Iowa",67912,36.8,47327,2015.0,0.4658,50692.0,7428.0,19,82425,3
"Dubuque city, Iowa",58196,37.3,54234,1478.0,0.445,52242.0,7649.0,19,22395,3
"St. Cloud city, Minnesota",68001,30.9,49135,2795.0,0.4619,52398.0,8391.0,27,56896,3
"Ames city, Iowa",66023,23.3,48105,2167.0,0.4951,53666.0,9903.0,19,1855,3
"Terre Haute city, Indiana",60673,32.5,36406,2506.0,0.4794,49851.0,5011.0,18,75428,3
"Kokomo city, Indiana",58145,40.3,45797,1588.0,0.4438,48647.0,4868.0,18,40392,3
"Coeur d'Alene city, Idaho",50540,36.8,51073,1060.0,0.4431,47188.0,6407.0,16,16750,3
"Valdosta city, Georgia",56095,28.5,32595,1765.0,0.5614,22887.0,4862.0,13,78800,3
"Kissimmee city, Florida",71185,34.5,40826,1964.0,0.4276,48598.0,6367.0,12,36950,3
"Kalamazoo city, Michigan",76019,26.5,41774,3217.0,0.4871,51848.0,7932.0,26,42160,3
"Woodland city, California",59710,36.5,69612,1678.0,0.4333,44785.0,6538.0,6,86328,3
"Towson CDP, Maryland",57817,33.3,88786,1296.0,0.5017,43094.0,11158.0,24,78425,3
"Lake Charles city, Louisiana",77283,36.2,42942,2334.0,0.5159,36193.0,8915.0,22,41155,3
"Manhattan city, Kansas",55290,24.5,50537,1640.0,0.4796,45081.0,7209.0,20,44250,3
"New Britain city, Connecticut",72767,33.8,46499,2860.0,0.4546,50746.0,6101.0,9,50370,3
"West Haven city, Connecticut",54763,36.6,62985,2826.0,0.4239,34647.0,5435.0,9,82800,3
"Lauderhill city, Florida",71625,35.7,41723,2891.0,0.4422,10294.0,5971.0,12,39550,3
"Battle Creek city, Michigan",51316,36.3,42298,1828.0,0.468,35924.0,4835.0,26,5920,3
"Madera city, California",64833,28.6,45163,2587.0,0.4336,39127.0,2466.0,6,45022,3
"Muncie city, Indiana",68750,28.6,33944,2671.0,0.485,57127.0,4853.0,18,51876,3
"Brentwood CDP, New York",63399,34.1,82165,1330.0,0.4298,38465.0,3894.0,36,8026,3
"Hamilton city, Ohio",62182,36.6,47064,1970.0,0.419,52676.0,4721.0,39,33012,3
"Moore city, Oklahoma",60943,34.3,65915,1487.0,0.3724,47499.0,7600.0,40,49200,3
"Lakewood city, Washington",60111,35.7,51972,1871.0,0.4546,35421.0,6031.0,53,38038,3
"Euless city, Texas",55763,35.3,65921,1112.0,0.4033,36404.0,8938.0,48,24768,3
"Harrisonburg city, Virginia",53273,25.4,46679,1320.0,0.4839,42838.0,5459.0,51,35624,3
"Lancaster city, Pennsylvania",59433,32.0,45514,2291.0,0.4406,35536.0,5480.0,42,41216,3
"St. Joseph city, Missouri",75913,36.8,48197,1742.0,0.4519,65392.0,7041.0,29,64550,3
"Schenectady city, New York",65334,36.2,45438,2985.0,0.4383,36888.0,6174.0,36,65508,3
"Mount Vernon city, New York",67896,40.1,59907,2389.0,0.4831,13920.0,8262.0,36,49121,3
"Gastonia city, North Carolina",75887,38.4,49460,2760.0,0.47,47419.0,8461.0,37,25580,3
"Rocky Mount city, North Carolina",54548,39.4,40633,1935.0,0.4807,16403.0,5122.0,37,57500,3
"Grand Forks city, North Dakota",56500,29.0,50076,1398.0,0.4889,48003.0,7653.0,38,32060,3
"Springfield city, Ohio",59132,35.8,39332,2739.0,0.4472,44302.0,3389.0,39,74118,3
"Midwest City city, Oklahoma",57288,36.0,49914,1534.0,0.4125,36515.0,5733.0,40,48350,3
"Lynchburg city, Virginia",80569,28.3,46409,2256.0,0.4623,52348.0,9472.0,51,47672,3
"Jackson city, Tennessee",66870,35.9,43621,1814.0,0.5054,33110.0,7092.0,47,37640,3
"Pawtucket city, Rhode Island",71844,37.6,50476,2876.0,0.4446,44267.0,7185.0,44,54640,3
"Rock Hill city, South Carolina",73334,34.6,50444,2259.0,0.4619,39977.0,9291.0,45,61405,3
"Albany city, Oregon",53521,37.0,60624,1737.0,0.416,46339.0,6696.0,41,1000,3
"Springfield city, Oregon",62077,36.1,47695,2556.0,0.4126,52917.0,5320.0,41,69600,3
"Grand Island city, Nebraska",51147,34.9,54965,1136.0,0.4377,41916.0,4722.0,31,19595,3
"Lakewood CDP, New Jersey",56072,16.9,50897,726.0,0.4969,52514.0,3468.0,34,38580,3
"Hempstead village, New York",55300,33.9,62569,1271.0,0.448,8222.0,4062.0,36,33139,3
"Jacksonville city, North Carolina",73025,23.1,44956,2299.0,0.4174,50752.0,4986.0,37,34200,3
"Baytown city, Texas",76635,32.9,57270,3030.0,0.4316,54423.0,4893.0,48,6128,3
"Pasco city, Washington",72899,29.5,62775,2170.0,0.4015,50364.0,5049.0,53,53545,3
"Missoula city, Montana",73710,32.8,47426,2208.0,0.4866,67130.0,13688.0,30,50200,3
"Utica city, New York",60320,34.0,37760,2190.0,0.5051,37650.0,4535.0,36,76540,3
"Burlington city, North Carolina",53063,38.9,43225,1812.0,0.4829,29830.0,6597.0,37,9060,3
"Chapel Hill town, North Carolina",60998,25.8,73614,1070.0,0.5487,43760.0,9032.0,37,11800,3
"Elyria city, Ohio",53821,39.2,44324,1838.0,0.4439,41096.0,3826.0,39,25256,3
"San Marcos city, Texas",63220,24.2,40370,2789.0,0.4841,53290.0,6611.0,48,65600,3
"Johnson City city, Tennessee",66515,35.6,41682,1873.0,0.5411,56945.0,9849.0,47,38320,3
"Scranton city, Pennsylvania",77054,37.2,40608,1876.0,0.4715,64027.0,7843.0,42,69000,3
"Greenville city, South Carolina",67737,34.3,56609,1654.0,0.5398,47683.0,13877.0,45,30850,3
"Passaic city, New Jersey",70019,30.1,40865,1634.0,0.4983,45258.0,4220.0,34,56550,3
"Youngstown city, Ohio",64783,39.3,28822,3981.0,0.4909,31813.0,4233.0,39,88000,3
"Summerville town, South Carolina",53037,35.6,59180,1463.0,0.4411,37753.0,6607.0,45,70270,3
"Casper city, Wyoming",58446,35.9,61979,1218.0,0.4352,55054.0,6176.0,56,13150,3
"Cheyenne city, Wyoming",63607,36.6,64598,1773.0,0.4368,56897.0,8277.0,56,13900,3
"West New York town, New Jersey",52662,36.2,56436,1700.0,0.4693,32306.0,7435.0,34,79610,3
"Lakewood city, Ohio",50259,34.7,53290,1432.0,0.4575,44101.0,10634.0,39,41664,3
"Lorain city, Ohio",63801,37.0,38291,2483.0,0.4724,45348.0,3555.0,39,44856,3
"Enid city, Oklahoma",50394,35.0,51952,1176.0,0.4398,39943.0,4735.0,40,23950,3
"Oshkosh city, Wisconsin",66773,33.9,50892,1208.0,0.4019,60584.0,8037.0,55,60500,3
"New Brunswick city, New Jersey",55960,23.6,43783,1365.0,0.5014,35715.0,3227.0,34,51210,3
"Union City city, New Jersey",68226,36.2,48992,1711.0,0.4663,48047.0,6686.0,34,74630,3
"Bethlehem city, Pennsylvania",75461,35.5,55809,1984.0,0.4504,58032.0,8765.0,42,6088,3
"La Crosse city, Wisconsin",51666,29.3,45233,1259.0,0.4805,46453.0,6562.0,55,40775,3
"Racine city, Wisconsin",77081,34.7,44056,2371.0,0.4408,50178.0,5406.0,55,66000,3
"Plainfield city, New Jersey",50362,34.6,56339,2063.0,0.4778,12689.0,3954.0,34,59190,3
"Vineland city, New Jersey",60034,38.1,54476,2038.0,0.4611,42554.0,5213.0,34,76070,3
"Camden city, New Jersey",74002,30.8,27015,3843.0,0.5002,17354.0,3039.0,34,10000,3
"Canton city, Ohio",71243,35.5,32287,3788.0,0.4586,47781.0,4215.0,39,12000,3
"Longview city, Texas",81653,34.7,49086,1884.0,0.4796,58906.0,7476.0,48,43888,3
"Galveston city, Texas",50241,38.9,49319,1784.0,0.5076,38274.0,6321.0,48,28068,3
"Port Arthur city, Texas",55109,34.5,36557,1614.0,0.4806,27546.0,2911.0,48,58820,3
"Corvallis city, Oregon",58028,27.4,52942,1815.0,0.5044,47323.0,9487.0,41,15800,3
"Joplin city, Missouri",50386,36.7,45449,1528.0,0.4842,43575.0,5893.0,29,37592,3
"Florissant city, Missouri",51455,35.9,54978,2345.0,0.3588,26819.0,5638.0,29,24778,3
"Victoria city, Texas",67055,34.4,54192,1927.0,0.4795,57232.0,5828.0,48,75428,3
"Bellevue city, Nebraska",53324,33.8,65308,1438.0,0.3899,43629.0,6372.0,31,3950,3
"Great Falls city, Montana",58835,38.6,46965,1105.0,0.4809,51105.0,6820.0,30,32800,3
"Appleton city, Wisconsin",74139,35.9,58112,1451.0,0.4376,62479.0,11011.0,55,2375,3
"DeSoto city, Texas",53090,38.9,71578,1438.0,0.4064,14263.0,6350.0,48,20092,3
"Harlingen city, Texas",65129,31.6,39752,1692.0,0.4819,59519.0,4515.0,48,32372,3
"Bryan city, Texas",84096,30.5,45771,1694.0,0.4689,60521.0,8147.0,48,10912,3
"Temple city, Texas",74762,34.2,54873,1890.0,0.462,56131.0,8717.0,48,72176,3
"Taylorsville city, Utah",60138,33.7,66311,1373.0,0.3784,44725.0,7202.0,49,75360,3
"Burien city, Washington",51477,37.9,67402,1588.0,0.4587,28198.0,6985.0,53,8850,3
"East Orange city, New Jersey",64374,35.1,48072,4249.0,0.4524,2206.0,5713.0,34,19390,3
"Logan city, Utah",50863,24.0,41833,791.0,0.4322,44039.0,5664.0,49,45860,3
"Kennewick city, Washington",81479,33.7,59533,2245.0,0.4275,64587.0,8252.0,53,35275,3
"Pharr city, Texas",78073,29.2,39884,1495.0,0.4458,73203.0,4958.0,48,57200,3
"Perth Amboy city, New Jersey",51678,33.3,52563,952.0,0.4465,40930.0,3597.0,34,58200,3
"West Allis city, Wisconsin",60025,37.9,52325,1259.0,0.3995,49286.0,8022.0,55,85300,3
"Eau Claire city, Wisconsin",68187,31.7,55477,1593.0,0.4317,61487.0,9264.0,55,22300,3
