Population,State,City
73435.0,38,07200
123550.0,38,25700
56588.0,38,32060
70863.0,39,12000
53844.0,39,25256
62162.0,39,33012
55271.0,39,40040
50002.0,39,41664
63832.0,39,44856
78623.0,39,61000
58957.0,39,74118
64152.0,39,88000
108875.0,40,09050
93101.0,40,23200
50116.0,40,23950
93535.0,40,41850
57392.0,40,48350
61683.0,40,49200
124086.0,40,52500
50183.0,40,70300
54442.0,41,01000
53724.0,41,01650
98567.0,41,05350
97032.0,41,05800
58612.0,41,15800
110456.0,41,31250
108026.0,41,34100
82098.0,41,47000
62729.0,41,69600
54149.0,41,73650
121156.0,42,02000
75571.0,42,06088
96616.0,42,24000
59321.0,42,41216
88333.0,42,63624
76997.0,42,69000
81252.0,44,19180
71821.0,44,54640
81043.0,44,74300
69648.0,45,30850
89410.0,45,48535
113880.0,45,50875
74410.0,45,61405
53643.0,45,70270
76541.0,46,52980
59252.0,47,03440
50596.0,47,16420
80675.0,47,27740
57888.0,47,33280
67036.0,47,37640
66934.0,47,38320
53699.0,47,39560
50820.0,47,69420
124691.0,48,01000
104040.0,48,01924
81860.0,48,04462
76089.0,48,06128
117321.0,48,07000
85645.0,48,10912
77181.0,48,13552
115802.0,48,15976
88369.0,48,16432
53170.0,48,20092
97734.0,48,22660
56334.0,48,24768
78854.0,48,26232
50307.0,48,28068
75470.0,48,29336
54151.0,48,30644
65028.0,48,32372
105410.0,48,41980
60613.0,48,42016
107740.0,48,42508
82183.0,48,43888
71419.0,48,46452
83796.0,48,48768
75348.0,48,48804
84622.0,48,50820
70585.0,48,52356
122630.0,48,53388
63610.0,48,57176
78689.0,48,57200
54705.0,48,58820
118583.0,48,61796
65426.0,48,63572
100509.0,48,64472
64053.0,48,65600
61514.0,48,69596
118563.0,48,70808
76590.0,48,72176
114532.0,48,72656
105859.0,48,74144
66974.0,48,75428
104657.0,48,79000
51251.0,48,80356
77268.0,49,43660
66980.0,49,44320
51266.0,49,45860
60828.0,49,50150
87175.0,49,55980
97883.0,49,57300
116886.0,49,62470
87176.0,49,65330
96137.0,49,67440
73695.0,49,70850
59926.0,49,75360
115181.0,49,82950
74230.0,51,14440
72062.0,51,21088
53558.0,51,35624
53731.0,51,44984
80970.0,51,47672
94961.0,51,64000
61418.0,51,66672
99122.0,51,68000
91383.0,51,76432
80914.0,53,03180
90821.0,53,05280
51588.0,53,08850
110840.0,53,22640
96812.0,53,23515
82633.0,53,35275
91146.0,53,35940
50827.0,53,36745
60564.0,53,38038
69629.0,53,43955
52290.0,53,51300
74266.0,53,53545
67959.0,53,57535
101871.0,53,57745
57353.0,53,58235
65265.0,53,61115
56835.0,53,63960
64104.0,53,65922
99275.0,53,67167
93829.0,53,80010
73891.0,55,02375
68720.0,55,22300
104508.0,55,31000
64415.0,55,37825
99767.0,55,39225
51543.0,55,40775
66753.0,55,60500
76893.0,55,66000
72419.0,55,84250
59861.0,55,85300
58287.0,56,13150
64099.0,56,13900
73040.0,72,10334
66751.0,72,32522
59857.0,72,52431
109930.0,72,63820
